index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
6.500000000000000000e+01,4.106002170963200479e+04,4.106002170963200479e+04,0.000000000000000000e+00,3.000865217806748925e-12,7.157372489725999622e-12,1.015823770753274855e-11,1.000000000000000000e+00
6.600000000000000000e+01,4.234307028177362372e+04,4.234307028177361644e+04,7.275957614183425903e-12,3.000487714722230574e-12,1.088057226445000322e-11,1.388105997917223460e-11,1.000000000000000000e+00
6.700000000000000000e+01,4.364585806271741603e+04,4.364585806271741603e+04,0.000000000000000000e+00,3.000346900079591962e-12,3.660195368961999814e-12,6.660542269041591776e-12,1.000000000000000000e+00
6.800000000000000000e+01,4.496838505246339628e+04,4.496838505246338900e+04,7.275957614183425903e-12,3.000496702890909102e-12,5.781372342269999372e-12,8.781869045160908474e-12,1.000000000000000000e+00
6.900000000000000000e+01,4.631065125101154263e+04,4.631065125101154263e+04,0.000000000000000000e+00,3.000170132762237625e-12,1.212600881150000010e-12,4.212771013912237837e-12,1.000000000000000000e+00
7.000000000000000000e+01,4.767265665836187691e+04,4.767265665836187691e+04,0.000000000000000000e+00,3.000634521477320999e-12,8.919382822910000472e-12,1.192001734438732228e-11,1.000000000000000000e+00
7.100000000000000000e+01,4.905440127451438457e+04,4.905440127451438457e+04,0.000000000000000000e+00,3.000694442601847209e-12,4.258269564926000314e-12,7.258964007527847523e-12,1.000000000000000000e+00
7.200000000000000000e+01,5.045588509946907288e+04,5.045588509946907288e+04,0.000000000000000000e+00,3.000796308513542573e-12,2.539745775618000390e-12,5.540542084131542963e-12,1.000000000000000000e+00
7.300000000000000000e+01,5.187710813322594186e+04,5.187710813322594186e+04,0.000000000000000000e+00,3.000976071887123625e-12,7.475200069630000350e-12,1.047617614151712398e-11,1.000000000000000000e+00
7.400000000000000000e+01,5.331807037578499148e+04,5.331807037578498421e+04,7.275957614183425903e-12,3.000388844866761117e-12,2.585916674046000695e-12,5.586305518912761812e-12,1.000000000000000000e+00
7.500000000000000000e+01,5.477877182714621449e+04,5.477877182714621449e+04,0.000000000000000000e+00,3.000373864585629160e-12,4.438658191361999808e-12,7.439032055947629776e-12,1.000000000000000000e+00
7.600000000000000000e+01,5.625921248730961088e+04,5.625921248730961088e+04,0.000000000000000000e+00,3.000758857810713894e-12,9.599598268418002116e-12,1.260035712622871601e-11,1.000000000000000000e+00
7.700000000000000000e+01,5.775939235627519520e+04,5.775939235627519520e+04,0.000000000000000000e+00,3.000442773878835513e-12,1.233001975810000081e-12,4.233444749688835594e-12,1.000000000000000000e+00
7.800000000000000000e+01,5.927931143404296017e+04,5.927931143404295290e+04,7.275957614183425903e-12,3.000586584577699224e-12,6.486820720642000593e-12,9.487407305219700625e-12,1.000000000000000000e+00
7.900000000000000000e+01,6.081896972061289853e+04,6.081896972061289853e+04,0.000000000000000000e+00,3.000294469095631327e-12,4.144452931581999573e-12,7.144747400677630900e-12,1.000000000000000000e+00
8.000000000000000000e+01,6.237836721598501754e+04,6.237836721598501754e+04,0.000000000000000000e+00,3.000528161481285160e-12,3.200633868289999001e-12,6.201162029771284161e-12,1.000000000000000000e+00
8.100000000000000000e+01,6.395750392015931720e+04,6.395750392015930993e+04,7.275957614183425903e-12,3.000609054999396754e-12,8.681549008897998134e-12,1.168215806389739570e-11,1.000000000000000000e+00
8.200000000000000000e+01,6.555637983313581208e+04,6.555637983313578297e+04,2.910383045673370361e-11,3.000555125987323166e-12,1.429721874841799812e-11,1.729777387440532129e-11,1.000000000000000000e+00
8.300000000000000000e+01,6.717499495491446578e+04,6.717499495491445123e+04,1.455191522836685181e-11,3.000631525421095093e-12,1.141690630553400021e-11,1.441753783095509611e-11,1.000000000000000000e+00
8.400000000000000000e+01,6.881334928549527831e+04,6.881334928549527831e+04,0.000000000000000000e+00,3.000615047111850183e-12,5.887135911934000816e-12,8.887750959045850191e-12,1.000000000000000000e+00
8.500000000000000000e+01,7.047144282487829332e+04,7.047144282487827877e+04,1.455191522836685181e-11,3.000776834148071757e-12,1.777925951489999834e-12,4.778702785638071187e-12,1.000000000000000000e+00
8.600000000000000000e+01,7.214927557306346716e+04,7.214927557306348172e+04,-1.455191522836685181e-11,3.000631525421094285e-12,7.579353026561999866e-12,1.057998455198309415e-11,1.000000000000000000e+00
8.700000000000000000e+01,7.384684753005082894e+04,7.384684753005082894e+04,0.000000000000000000e+00,3.000447267963174373e-12,1.351499782963399910e-11,1.651544509759717186e-11,1.000000000000000000e+00
8.800000000000000000e+01,7.556415869584040774e+04,7.556415869584040774e+04,0.000000000000000000e+00,3.000504193031474676e-12,1.366424794316599624e-11,1.666475213619747253e-11,1.000000000000000000e+00
8.900000000000000000e+01,7.730120907043214538e+04,7.730120907043214538e+04,0.000000000000000000e+00,3.000829265132032392e-12,7.814502486013999207e-12,1.081533175114603241e-11,1.000000000000000000e+00
9.000000000000000000e+01,7.905799865382604185e+04,7.905799865382602729e+04,1.455191522836685181e-11,3.000645007674112480e-12,1.829465559038000075e-12,4.830110566712112555e-12,1.000000000000000000e+00
9.100000000000000000e+01,8.083452744602211169e+04,8.083452744602212624e+04,-1.455191522836685181e-11,3.000493706834683195e-12,6.291399708674001150e-12,9.291893415508685153e-12,1.000000000000000000e+00
9.200000000000000000e+01,8.263079544702038402e+04,8.263079544702036947e+04,1.455191522836685181e-11,3.000393338951099977e-12,1.254755644621000007e-11,1.554794978516110005e-11,1.000000000000000000e+00
9.300000000000000000e+01,8.444680265682082972e+04,8.444680265682082972e+04,0.000000000000000000e+00,3.000639015561660667e-12,1.609788378726199799e-11,1.909852280282365947e-11,1.000000000000000000e+00
9.400000000000000000e+01,8.628254907542344881e+04,8.628254907542344881e+04,0.000000000000000000e+00,3.000697438658074731e-12,9.927626395646000468e-12,1.292832383430407439e-11,1.000000000000000000e+00
